"類型","","遊憩據點","","107年1月","107年2月","107年3月","107年4月","107年5月","107年6月","107年7月","107年8月","107年9月","107年10月","107年11月","107年12月","108年1月","108年2月","108年3月","108年4月","108年5月","108年6月","108年7月","108年8月","108年9月","108年10月","108年11月","108年12月","109年1月","109年2月","109年3月","109年4月","109年5月","109年6月","109年7月","109年8月","109年9月","109年10月","109年11月","109年12月","110年1月","110年2月","110年3月","110年4月","110年5月","110年6月","110年7月","110年8月","110年9月","110年10月","110年11月","110年12月","111年1月","111年2月","111年3月","111年4月","111年5月","111年6月","111年7月","111年8月","111年9月","111年10月","111年11月","111年12月","小計"
"","Class","","Scenic Spots","2018/1","2018/2","2018/3","2018/4","2018/5","2018/6","2018/7","2018/8","2018/9","2018/10","2018/11","2018/12","2019/1","2019/2","2019/3","2019/4","2019/5","2019/6","2019/7","2019/8","2019/9","2019/10","2019/11","2019/12","2020/1","2020/2","2020/3","2020/4","2020/5","2020/6","2020/7","2020/8","2020/9","2020/10","2020/11","2020/12","2021/1","2021/2","2021/3","2021/4","2021/5","2021/6","2021/7","2021/8","2021/9","2021/10","2021/11","2021/12","2022/1","2022/2","2022/3","2022/4","2022/5","2022/6","2022/7","2022/8","2022/9","2022/10","2022/11","2022/12","Total"
"國家公園","National Parks","墾丁國家公園管理處遊客中心","Kenting National Park Headquarters Visitor Center","5806","9185","7043","10255","5151","7676","6722","6627","3806","5474","4436","7430","5568","4406","4744","6100","6967","5480","6516","6249","4141","10586","7886","7481","2570","2687","1060","1114","1014","2412","3621","4977","2402","10173","2560","4129","3212","2951","3235","3652","2350","0","198","1100","1041","2022","3182","2879","2223","1701","1258","1785","720","1282","1841","3721","2162","2304","1461","1338","242072"
"國家公園","National Parks","鵝鑾鼻公園","Eluanbi Park","39422","69925","53864","67362","57833","42673","66993","83150","39913","76939","58286","69846","52352","86352","60369","72794","87824","69531","88957","99372","39369","52151","37492","39720","18108","44340","19965","15261","8415","21067","49307","48340","33142","52385","35642","31133","25300","42677","27792","38014","24907","0","885","9722","19457","21129","32909","40390","17638","34499","28972","24970","11748","17975","34995","35056","31354","27670","23104","31835","2492592"
"國家公園","National Parks","貓鼻頭公園","Maobitou Park","53133","69205","64893","60932","76733","39043","43640","59359","36404","53787","57964","65409","51697","65573","78369","90865","102431","66948","74508","73787","27426","32621","36079","37372","13955","22547","8911","7150","4265","7001","16660","15278","11963","21416","14908","15026","7833","13612","9778","20602","9597","0","883","4946","9341","10946","16298","20404","8886","12752","14470","12038","4468","6422","11103","14163","13123","12671","11837","17321","1840752"
"國家公園","National Parks","佳樂水","Jialeshuei","6779","16057","18150","28510","10911","7844","14541","10661","8355","12020","8418","13460","10191","16637","11837","12613","11532","10852","15128","12535","12023","15263","12107","11369","2247","8724","5734","5016","5306","11033","13125","13196","9337","17880","12884","11926","9170","13700","11247","12509","6651","0","1006","6876","7032","12984","14931","12652","7229","12937","9151","0","0","0","0","0","0","0","0","0","562276"
"國家公園","National Parks","社頂自然公園","Sheding Nature Park","6595","8784","8505","10125","8198","5266","6361","3926","5912","10765","8396","10875","8637","9482","8577","8130","7383","7062","5704","4021","7892","13373","9589","9225","7171","6764","5248","4303","3722","5556","6413","5507","8382","13362","11788","7998","8366","11664","11070","11516","5484","188","1124","4272","5983","12867","12323","11393","8725","12498","14124","9277","4018","4536","1702","6726","10187","9313","8658","9636","474647"
"國家公園","National Parks","南灣遊憩區","Nanwam Recreation Area","28186","27441","27639","42556","33018","28696","42398","35877","25017","18975","21335","25713","25673","38780","41976","48566","50195","61229","50184","42026","20354","23802","15840","12979","14057","7044","7636","8766","12358","32364","37553","36275","39099","45221","22872","14344","14305","33493","24784","42865","21597","0","1434","27437","38825","46920","26387","18865","17814","32128","20538","17019","19773","36476","57042","54262","41591","54262","19332","13328","1746521"
"國家公園","National Parks","龍鑾潭自然中心","Longluan Lake Nature Center","5742","5904","6528","6926","4685","4422","3761","3336","4261","5574","4270","8281","8262","6123","4991","6083","5802","7413","7044","13463","8852","9758","9276","8500","7392","5500","3506","1740","2381","3553","4349","5414","4846","10214","7983","6848","7563","5694","5627","7661","1954","0","310","2322","2352","5224","6707","11047","4645","5406","5945","7661","1962","2167","3835","4244","4772","4244","4161","5073","333559"
"國家公園","National Parks","砂島貝殼砂展示館","Shadao Shell Beach Exhibition Hall","9606","23171","8626","12009","10952","10490","14230","13275","12720","17315","12325","16130","15993","28939","16539","15485","13553","15970","18322","13463","8003","10444","9447","11011","11665","8368","5781","2579","3507","8326","13007","8060","7456","10598","7970","8565","6769","9431","6592","9296","3673","0","325","2540","2335","2590","2270","2714","3257","4623","2654","9296","2350","3732","5978","5622","3877","5622","4248","4893","538587"
"國家公園","National Parks","塔塔加遊憩區","Tataka Recreation Area","64502","33911","51136","56037","50017","40728","44841","42422","43306","42754","32886","39888","27352","34907","35222","35030","20767","34606","35373","22122","51528","70039","61916","48972","51931","46890","48327","47220","50851","78256","96966","68315","58332","79345","63976","60554","57816","68858","64606","64482","51361","14145","17509","28293","47107","66647","59182","63887","53805","53650","50503","54448","28376","51825","74884","66486","43477","66930","66468","58534","3044504"
